,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2,0.99000001,"loan, process, time, closing, u, read, mortgage, rate, great, would","['started', 'bob', 'g', 'ran', 'credit', 'check', 'without', 'knowledge', 'consent', 'agreed', 'use', 'nasb', 'bob', 'told', 'could', 'close', 'le', 'weeksit', 'took', 'day', 'closing', 'still', 'asking', 'paperwork', 'day', 'closing', 'household', 'good', 'unpacked', 'told', 'power', 'attorney', 'could', 'used', 'fly', 'id', 'wife', 'take', 'doc', 'notary', 'fedex', 'back', 'also', 'get', 'bank', 'check', 'send', 'doc', 'wouldnt', 'accept', 'personal', 'check', 'five', 'day', 'later', 'driving', 'id', 'nc', 'coordinate', 'closing', 'doc', 'already', 'sent', 'sale', 'home', 'sent', 'could', 'send', 'four', 'house', 'purchased', 'past', 'year', 'stressful', 'read']"
1,1,1,0.534500003,"loan, process, would, u, read, recommend, home, mortgage, team, time","['great', 'website', 'knowledgeable', 'responsive', 'always', 'got', 'back', 'u', 'quickly', 'answer', 'question', 'mortgage', 'process', 'tedious', 'made', 'easy']"
2,2,1,0.964299977,"loan, process, would, u, read, recommend, home, mortgage, team, time","['pleasure', 'working', 'robert', 'first', 'call', 'kept', 'well', 'informed', 'every', 'step', 'refinancing', 'also', 'made', 'sure', 'understood', 'everything', 'completely', 'fast', 'responding', 'helping', 'question']"
3,3,2,0.990100026,"loan, process, time, closing, u, read, mortgage, rate, great, would","['started', 'bob', 'g', 'ran', 'credit', 'check', 'without', 'knowledge', 'consent', 'agreed', 'use', 'nasb', 'bob', 'told', 'could', 'close', 'le', 'weeksit', 'took', 'day', 'closing', 'still', 'asking', 'paperwork', 'day', 'closing', 'household', 'good', 'unpacked', 'told', 'power', 'attorney', 'could', 'used', 'fly', 'id', 'wife', 'take', 'doc', 'notary', 'fedex', 'back', 'also', 'get', 'bank', 'check', 'send', 'doc', 'wouldnt', 'accept', 'personal', 'check', 'five', 'day', 'later', 'driving', 'id', 'nc', 'coordinate', 'closing', 'doc', 'already', 'sent', 'sale', 'home', 'sent', 'could', 'send', 'four', 'house', 'purchased', 'past', 'year', 'stressful', 'read', 'le']"
4,4,1,0.97240001,"loan, process, would, u, read, recommend, home, mortgage, team, time","['agree', 'star', 'review', 'easy', 'clear', 'work', 'hello', 'knowledgeable', 'direct', 'conversation', 'style', 'worked', 'well', 'team', 'processor', 'asks', 'document', 'smooth', 'transaction', 'successful', 'loan', 'funded', 'happy', 'worked', 'michele', 'call', 'future', 'dealing', 'read']"
5,5,2,0.99000001,"loan, process, time, closing, u, read, mortgage, rate, great, would","['use', 'reliance', 'first', 'capitoldo', 'let', 'kenneth', 'watson', 'help', 'youi', 'frustrated', 'himhe', 'arrogantevery', 'time', 'talked', 'would', 'always', 'saylet', 'call', 'back', 'minutesi', 'wouldnt', 'hear', 'couple', 'daysand', 'happened', 'probably', 'timesit', 'wasnt', 'extremely', 'badwe', 'raise', 'credit', 'score', 'took', 'probably', 'monthbut', 'took', 'little', 'month', 'get', 'everything', 'said', 'donethen', 'lost', 'paper', 'workwe', 'get', 'redonetheni', 'also', 'motorcycle', 'addedconsolidationit', 'supposed', 'percent', 'payoffwell', 'didnt', 'get', 'money', 'pay', 'bike', 'offagainlet', 'call', 'title', 'company', 'ill', 'call', 'back', 'mindidnt', 'hear', 'himso', 'called', 'back', 'next', 'daywhat', 'read']"
6,6,2,0.970799983,"loan, process, time, closing, u, read, mortgage, rate, great, would","['jon', 'barrett', 'great', 'asset', 'husband', 'made', 'mortgage', 'loan', 'process', 'extremely', 'simple', 'quick', 'jon', 'knowledgeable', 'helpful', 'patient', 'accurate', 'passing', 'jons', 'name', 'along', 'anyone', 'looking', 'mortgage', 'loan']"
7,7,1,0.866999984,"loan, process, would, u, read, recommend, home, mortgage, team, time","['loan', 'officer', 'jim', 'heisser', 'fantastic', 'day', 'one', 'right', 'case', 'called', 'daily', 'let', 'know', 'process', 'going', 'every', 'day', 'talkedi', 'felt', 'like', 'talking', 'friendand', 'became', 'friend', 'jim', 'talked', 'til', 'closing', 'informative', 'regarding', 'thing', 'refi', 'closing', 'went', 'scheduled', 'jim', 'said', 'would', 'guy', 'right', 'money', 'came', 'every', 'detail', 'called', 'make', 'sure', 'thing', 'still', 'going', 'along', 'right', 'path', 'dont', 'let', 'guy', 'gohe', 'best', 'ive', 'ever', 'dealt', 'read']"
8,8,1,0.977999985,"loan, process, would, u, read, recommend, home, mortgage, team, time","['want', 'thank', 'robert', 'mcclung', 'janeen', 'cadwell', 'kind', 'assistance', 'loan', 'process', 'although', 'many', 'question', 'beginning', 'robert', 'provided', 'information', 'required', 'make', 'feel', 'comfortable', 'refinancing', 'home', 'great', 'experience', 'highly', 'recommend', 'dlj', 'financial', 'thanks', 'robert', 'janeen', 'great', 'service']"
9,9,1,0.98210001,"loan, process, would, u, read, recommend, home, mortgage, team, time","['absolutely', 'best', 'experience', 'ever', 'dealing', 'loan', 'officer', 'loan', 'related', 'endeavor', 'matter', 'rowel', 'friendly', 'knowledgeable', 'patient', 'extraordinarily', 'helpful', 'choosing', 'right', 'loan', 'got', 'precisely', 'promised', 'record', 'time', 'rowel', 'available', 'eager', 'answer', 'question', 'every', 'step', 'way', 'recommend', 'anyone', 'everyone', 'call', 'need', 'anything', 'related', 'loan', 'future', 'read']"
10,10,1,0.905799985,"loan, process, would, u, read, recommend, home, mortgage, team, time","['joey', 'helpful', 'appreciated', 'friendly', 'manner', 'timely', 'response']"
11,11,2,0.921299994,"loan, process, time, closing, u, read, mortgage, rate, great, would","['got', 'best', 'deal', 'price', 'matched', 'even', 'better', 'fortunate', 'got', 'work']"
12,12,0,0.941299975,"would, work, time, loan, home, process, read, great, lender, rate","['quick', 'easy', 'pleasure', 'work', 'question', 'answered', 'recommend', 'anytime', 'matt', 'rich', 'great', 'thank']"
